claim,page_citation,page_is_first_citation
"Sarah Palin kêu gọi tẩy chay Mall of America vì ""Santa luôn trắng trong kinh thánh.""","Minneapolis Star Tribune, ""Mall of America đón chào Santa Santa đen đầu tiên"", ngày 1 tháng 12 năm 2016",0
"Sarah Palin kêu gọi tẩy chay Mall of America vì ""Santa luôn trắng trong kinh thánh.""","Bài đăng trên Facebook, Sarah Palin, ngày 20 tháng 12 năm 2016",0
"Pence: ""Michelle Obama là đệ nhất phu nhân đầu tiên mà chúng tôi từng có","Politicono.com, ""Pence:"" Michelle Obama là người phụ nữ đầu tiên khiếm nhã nhất mà chúng tôi từng có "", ngày 14 tháng 10 năm 2016",1
"Pence: ""Michelle Obama là đệ nhất phu nhân đầu tiên mà chúng tôi từng có","Wall Street Journal, ""Michelle Obama Slams Donald Trump cho khoe khoang về"" hành vi ăn thịt tình dục "","" ngày 13 tháng 10 năm 2016",0
"Pence: ""Michelle Obama là đệ nhất phu nhân đầu tiên mà chúng tôi từng có","CBS Sáng nay, ""Mike Pence:"" Tôi không hiểu ""phê bình của Michelle Obama về Trump,"" ngày 14 tháng 10 năm 2016",0
"Pence: ""Michelle Obama là đệ nhất phu nhân đầu tiên mà chúng tôi từng có","PolitiFact Florida, ""bài đăng trên Facebook cáo buộc Đại diện của Hoa Kỳ Ted Yoho muốn xóa bỏ các quyền biểu quyết"", ngày 30 tháng 12 năm 2015",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Organic & Healthy.com, Bill Gates sử dụng 30,000 cô gái Ấn Độ như lợn Guinea để thử nghiệm vắc-xin ung thư, tháng 10 năm 2016",1
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Hội đồng nghiên cứu y học Ấn Độ, Báo cáo cuối cùng: Những bất thường bị cáo buộc trong việc tiến hành nghiên cứu sử dụng vắc-xin Virus Papilloma Human (HPV) ""bởi PATH ở Ấn Độ, ngày 15 tháng 2 năm 2011",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Nhóm Tài nguyên Sama dành cho Phụ nữ và Sức khỏe, Bản ghi nhớ của Bộ trưởng Y tế về Ngày Sức khỏe Thế giới Đối đầu với Chủng ngừa HPV, ngày 7 tháng 4 năm 2010",0
Nói Bill Gates có liên quan đến các trường hợp tử vong do vắc-xin HPV có liên quan ở Ấn Độ.,"Trung tâm kiểm soát và phòng ngừa dịch bệnh, HPV: Câu hỏi và trả lời, ngày 28 tháng 11 năm 2016",0
