claim,page_citation,claim_label
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"100PercentFedUp.com, ""HORRIBLE! TOP DEMOCRATS Từ chối Đứng Để Góa phụ Sao Vàng"", ngày 1 tháng 3 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"CNN, ""Đại diện Wilson hét lên,"" Bạn nói dối ""với Obama trong bài phát biểu,"" ngày 10 tháng 9 năm 2009",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Politico, ""Làm thế nào Lenny Skutnik, anh hùng SOTU của Reagan, được đổ vào nước Mỹ của Obama,"" Jan. 12, 2016",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Washington Post, ""Nhà Trắng cho biết một cuộc đột kích chết người ở Yemen đã được lên kế hoạch từ lâu tại Washington. Không đúng, nói rằng các quan chức phục vụ Obama."", Ngày 2 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Miami Herald, ""Cha của Slain SEAL muốn câu trả lời:"" Đừng giấu đằng sau cái chết của con trai tôi "", ngày 26 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"The Hill, ""Trump dường như đổ lỗi cho các tướng lĩnh vì cái chết của SEAL trong cuộc đột kích của Yemen,"" ngày 28 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"NBC News, ""Trump danh dự góa phụ của hải quân Fallen SEAL William 'Ryan' Owens trong địa chỉ để Quốc hội,"" ngày 28 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"DailyWire.com, ""AWFUL: Dân chủ hàng đầu từ chối đứng, vỗ tay cho hải quân SEAL Widow vinh dự bởi Trump,"" ngày 28 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"USA Today, ""các nhà lập pháp GOP cổ vũ bài phát biểu của Trump khi đảng Dân chủ ngồi mặt đá,"" ngày 28 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"McClatchy thông qua YouTube, ""Góa phụ của Hải quân SEAL đã nhận được sự hoan nghênh nhiệt liệt trong bài phát biểu của Trump"", ngày 28 tháng 2 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Snopes, ""Có phải đảng Dân chủ từ chối đứng cho Góa phụ của Hải quân SEAL không?"", Ngày 1 tháng 3 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"TheBlaze.com, ""Matt Walsh: đảng Dân chủ, màn trình diễn đáng xấu hổ đó chứng minh tại sao người Mỹ bình thường coi thường đảng của bạn"", ngày 1 tháng 3 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Fox & Friends qua Facebook, trích đoạn phỏng vấn Marco Rubio, ngày 1 tháng 3 năm 2017",0
Dân chủ hàng đầu từ chối đứng cho góa phụ Gold Star.,"Phỏng vấn Craig Smith, Trung tâm nghiên cứu sửa đổi đầu tiên tại Đại học bang California, Long Beach, giám đốc danh dự, ngày 1 tháng 3 năm 2017",0
